 type ask, timestamp 1576858172.1438932, ticker GE, size 300, price 11.11,
 type bid, timestamp 1576858172.1438932, ticker GE, size 900, price 11.02,
 type last, timestamp 1576858178.1969123, ticker GE, size 100, price 11.025,
 type ask, timestamp 1576858184.9974983, ticker AAPL, size 100, price 281.83,
 type bid, timestamp 1576858184.9974983, ticker AAPL, size 100, price 280.32,
 type last, timestamp 1576858186.148944, ticker AAPL, size 100, price 281.79,
 type ask, timestamp 1576858190.4916325, ticker MSFT, size 100, price 157.01,
 type bid, timestamp 1576858190.4916325, ticker MSFT, size 100, price 156.99,
 type last, timestamp 1576858182.2606244, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858190.897499, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858190.897499, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858190.9109874, ticker MSFT, size 100, price 157.01,
 type bid, timestamp 1576858190.9109874, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858190.9136052, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858190.9136052, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858191.0118597, ticker MSFT, size 100, price 157.01,
 type bid, timestamp 1576858191.0118597, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858191.1964564, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858191.1964564, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858191.3614516, ticker MSFT, size 100, price 157.01,
 type bid, timestamp 1576858191.3614516, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858193.415588, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858193.415588, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858193.44359, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858193.44359, ticker MSFT, size 100, price 157.0,
 type ask, timestamp 1576858193.5667, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858193.5667, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858193.6893609, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858193.6893609, ticker MSFT, size 100, price 157.0,
 type ask, timestamp 1576858193.81513, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858193.81513, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858193.835684, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858193.835684, ticker MSFT, size 100, price 157.0,
 type ask, timestamp 1576858194.144516, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858194.144516, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858194.1771266, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858194.1771266, ticker MSFT, size 100, price 157.0,
 type ask, timestamp 1576858194.4352627, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858194.4352627, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858194.435289, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858194.435289, ticker MSFT, size 100, price 157.01,
 type ask, timestamp 1576858194.4374685, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858194.4374685, ticker MSFT, size 129, price 157.0,
 type ask, timestamp 1576858194.4520879, ticker MSFT, size 100, price 157.03,
 type bid, timestamp 1576858194.4520879, ticker MSFT, size 100, price 157.01,
 type ask, timestamp 1576858194.6723936, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858194.6723936, ticker MSFT, size 100, price 157.01,
 type ask, timestamp 1576858194.7807872, ticker MSFT, size 200, price 157.02,
 type bid, timestamp 1576858194.7807872, ticker MSFT, size 100, price 157.01,
 type ask, timestamp 1576858195.1984394, ticker MSFT, size 200, price 157.02,
 type bid, timestamp 1576858195.1984394, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858195.2400224, ticker MSFT, size 200, price 157.02,
 type bid, timestamp 1576858195.2400224, ticker MSFT, size 100, price 157.01,
 type ask, timestamp 1576858195.4150937, ticker MSFT, size 200, price 157.02,
 type bid, timestamp 1576858195.4150937, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858196.4433413, ticker MSFT, size 200, price 157.02,
 type bid, timestamp 1576858196.4433413, ticker MSFT, size 100, price 157.01,
 type last, timestamp 1576858196.475658, ticker MSFT, size 53, price 157.02,
 type ask, timestamp 1576858196.475658, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858196.475658, ticker MSFT, size 100, price 157.01,
 type ask, timestamp 1576858196.7558615, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858196.7558615, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858196.8131874, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858196.8131874, ticker MSFT, size 100, price 157.01,
 type ask, timestamp 1576858196.9718678, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858196.9718678, ticker MSFT, size 100, price 156.99,
 type ask, timestamp 1576858197.0082028, ticker MSFT, size 100, price 157.02,
 type bid, timestamp 1576858197.0082028, ticker MSFT, size 100, price 157.01,
